year,value,category,variable,model,scenario,region,unit
2100.0,1.2913250970400006e6,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year
2100.0,336609.4995,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year
2100.0,81726.12504,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year
2100.0,62158.02996000001,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year
2100.0,422763.65901,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2100.0,196926.6973900001,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year
2100.0,114227.58485999996,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year
2100.0,50415.5196,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year
2100.0,4704.37504,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year
2100.0,56489.788180000025,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year
2100.0,3.2676755577e6,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2100.0,1.12410719828e6,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5ASIA,$ 2010/local currency per year
2100.0,1.0320720176100006e6,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year
2100.0,356775.31393,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year
2100.0,40785.709800000004,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year
2100.0,713924.7861800012,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year
2100.0,947151.2908,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2100.0,609892.5258300002,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year
2100.0,253029.8167600003,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year
2100.0,12835.04244,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year
2100.0,2233.8396,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year
2100.0,69160.72478000008,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year
2100.0,2.58077346047e6,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2100.0,119929.91644000003,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5ASIA,$ 2010/local currency per year
2100.0,655763.3739800004,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year
2100.0,233449.18621,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year
2100.0,8911.01802,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year
2100.0,1.56272596276e6,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year
2020.0,317449.104,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2020.0,237779.77469000022,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5ASIA,$ 2010/local currency per year
2020.0,16540.311539999988,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5MAF,$ 2010/local currency per year
2020.0,2904.3227199999997,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5LAM,$ 2010/local currency per year
2020.0,2868.85125,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5REF,$ 2010/local currency per year
2020.0,57359.28307999997,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5OECD90+EU,$ 2010/local currency per year
2020.0,854708.97494,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2020.0,266903.25497,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5ASIA,$ 2010/local currency per year
2020.0,98594.04763999995,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5MAF,$ 2010/local currency per year
2020.0,41985.95616,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5LAM,$ 2010/local currency per year
2020.0,49939.96656,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5REF,$ 2010/local currency per year
2020.0,397277.7815899998,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5OECD90+EU,$ 2010/local currency per year
2020.0,2.20429541046e6,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2020.0,773432.2701299996,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5ASIA,$ 2010/local currency per year
2020.0,241699.84768999997,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5MAF,$ 2010/local currency per year
2020.0,206587.93338,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5LAM,$ 2010/local currency per year
2020.0,63681.14808,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5REF,$ 2010/local currency per year
2020.0,918905.1887199974,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5OECD90+EU,$ 2010/local currency per year
2040.0,8427.56733,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2040.0,3409.427519999993,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5ASIA,$ 2010/local currency per year
2040.0,520.2323399999997,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,R5MAF,$ 2010/local currency per year
