year,value,model,scenario,region,variable
2020,10.89388,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2020,22.76274,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2020,11.51182,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2030,27.62541,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2030,21.4925,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2030,6.635415,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2040,48.0987,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2040,4.979984,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2040,-10.6433,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2050,58.957,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2050,-3.87525,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2050,-22.4024,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2060,38.77954,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2060,-6.03334,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2060,-19.8733,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2070,29.95124,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2070,3.090757,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2070,-12.0727,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2080,-2.32715,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2080,-1.66637,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2080,-4.04132,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2090,-10.9532,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2090,5.578061,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2090,1.210976,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2010,3.534877,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2010,28.11794,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2010,12.41788,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2020,-59.6482,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2020,2.285356,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2020,9.757398,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2030,-23.3091,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2030,-15.8882,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2030,-0.24174,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2040,0.388738,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2040,-14.9382,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2040,-13.8628,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2050,-0.69314,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2050,-5.75611,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2050,-19.9703,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2060,-1.55956,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2060,-2.90673,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2060,-15.6658,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2070,-1.41263,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
